epoch,train_loss,train_accuracy,val_clean_loss,val_clean_accuracy,val_medium_mixed_loss,val_medium_mixed_accuracy,selection_score,lr,seconds
1,1.2717628666877747,0.5386,0.8829111065864563,0.712,2.301208728790283,0.335,0.712,0.0001,9.941076590999728
2,0.5275471602201461,0.8298,0.3855658865571022,0.872,2.1665714740753175,0.41,0.872,0.0001,7.494271349016344
3,0.3871916874885559,0.8788,0.2491958300024271,0.924,2.504463458061218,0.379,0.924,0.0001,8.787931222002953
4,0.33620061886310576,0.8978,0.2510766630768776,0.922,2.175891845703125,0.42,0.922,0.0001,9.94230036798399
5,0.2849108554065228,0.9102,0.33145499840937553,0.898,2.5185810775756834,0.417,0.898,0.0001,9.792273852974176
6,0.25671733139157293,0.9252,0.2679089692533016,0.925,2.1485779361724853,0.424,0.925,0.0001,9.879879274987616
7,0.2327485017120838,0.9364,0.24367290656268598,0.919,2.317887804031372,0.403,0.919,0.0001,9.8575941970048
8,0.2231337268948555,0.9314,0.20945750230550766,0.932,2.4960348300933837,0.414,0.932,0.0001,9.942750984977465
9,0.1931399177789688,0.9414,0.30647847915813325,0.919,2.5802502746582032,0.429,0.919,0.0001,10.088047237019055
10,0.11415143815195188,0.9646,0.18373754267394543,0.955,2.7948217697143556,0.434,0.955,2e-05,9.910830267006531
11,0.08799202191960066,0.975,0.1936725331665948,0.956,3.1562477722167968,0.442,0.956,2e-05,9.661299356987001
12,0.07798044289778917,0.9792,0.17783230884512885,0.956,3.19726322555542,0.453,0.956,2e-05,10.07423805599683
13,0.05644924075938761,0.9842,0.19394610972004012,0.957,3.253676936149597,0.445,0.957,2e-05,10.088059875997715
14,0.05065406000702642,0.9854,0.19238502423255704,0.958,3.236124616622925,0.454,0.958,4.000000000000001e-06,9.931927588011604
15,0.05142345373695716,0.9876,0.19148220622434747,0.961,3.2487276515960692,0.452,0.961,4.000000000000001e-06,9.893183256004704
