epoch,train_loss,train_accuracy,val_clean_loss,val_clean_accuracy,val_medium_mixed_loss,val_medium_mixed_accuracy,selection_score,lr,seconds
1,1.6212791667938233,0.4182,0.7071548957824707,0.788,1.6367925605773925,0.424,0.606,0.0001,10.358535245002713
2,0.9033923567771912,0.6998,0.43868863236904143,0.869,1.394829308986664,0.535,0.702,0.0001,10.292478410992771
3,0.7376627512931824,0.7634,0.319929731965065,0.906,1.2280708866119385,0.577,0.7415,0.0001,11.140320825012168
4,0.6338765917301178,0.787,0.32329441556334493,0.911,1.328827022075653,0.567,0.739,0.0001,10.880915078014368
5,0.5721466217517853,0.8148,0.27688682919740676,0.92,1.0941569547653198,0.644,0.782,0.0001,12.16870797800948
6,0.5493178422451019,0.8202,0.2720908679515123,0.92,1.1274264726638794,0.623,0.7715000000000001,0.0001,12.034220774978166
7,0.5186666033029557,0.835,0.2278189187645912,0.94,1.0669878492355347,0.648,0.794,0.0001,10.444275385001674
8,0.47255421088933947,0.8434,0.2116970055103302,0.941,0.9433697147369384,0.698,0.8194999999999999,0.0001,12.313737965014298
9,0.43858155403137206,0.8606,0.2010184695124626,0.943,1.16179123878479,0.638,0.7905,0.0001,9.099235393019626
10,0.36715837017893793,0.8828,0.163805548787117,0.955,0.8557131471633911,0.706,0.8305,2e-05,12.132260204001796
11,0.32647310473918917,0.8952,0.15625787298381327,0.956,0.8233792400360107,0.731,0.8434999999999999,2e-05,11.507125813979656
12,0.29858683314323425,0.901,0.1379777504578233,0.963,0.7987503814697265,0.717,0.84,2e-05,11.389605078002205
13,0.2909922947883606,0.904,0.1543726750612259,0.957,0.7844582924842834,0.746,0.8514999999999999,2e-05,12.072651797992876
14,0.26842212904393675,0.9064,0.1322973049581051,0.965,0.7519856376647949,0.747,0.856,4.000000000000001e-06,12.210631205001846
15,0.27528003216572106,0.9072,0.12435049453377724,0.966,0.7430081329345704,0.75,0.858,4.000000000000001e-06,9.394635889999336
