epoch,train_loss,train_accuracy,val_clean_loss,val_clean_accuracy,val_medium_mixed_loss,val_medium_mixed_accuracy,selection_score,lr,seconds
1,1.8944695360183716,0.3524,1.0091585121154785,0.699,1.5164575319290161,0.464,0.5815,0.0001,16.375422248005634
2,1.1627047956466674,0.7264,0.4997002589702606,0.895,1.2315278763771058,0.603,0.749,0.0001,15.635773793997942
3,0.9210203142166138,0.8306,0.37273243951797486,0.902,1.0547081031799317,0.651,0.7765,0.0001,16.174004291999154
4,0.808512264919281,0.8608,0.3635250318050385,0.923,0.9656527791023254,0.674,0.7985,0.0001,15.60467222801526
5,0.7642359556198121,0.8808,0.3762428778409958,0.917,0.9626796851158143,0.702,0.8095,0.0001,15.989835746004246
6,0.7117769023895264,0.8884,0.2687743362188339,0.937,0.8976673789024353,0.703,0.8200000000000001,0.0001,15.281570163992
7,0.668631920337677,0.903,0.31822335910797117,0.928,0.8764880466461181,0.72,0.8240000000000001,0.0001,15.375275557977147
8,0.6247883848190308,0.9146,0.23921649569272996,0.944,0.7733112623691559,0.754,0.849,0.0001,15.298788916988997
9,0.6131200332164765,0.9108,0.2389044258594513,0.952,0.7675003893375397,0.753,0.8525,0.0001,14.85652806298458
10,0.5031179181098938,0.9384,0.2013520682454109,0.96,0.6633220767974853,0.784,0.872,2e-05,14.593756770977052
11,0.487093293094635,0.9442,0.20317517280578612,0.961,0.6583799743652343,0.805,0.883,2e-05,14.706727972021326
12,0.4546408420562744,0.9486,0.16448837971687316,0.972,0.603879340171814,0.806,0.889,2e-05,15.214965799998026
13,0.448650981426239,0.9486,0.16661459600925446,0.975,0.6128920080661774,0.8,0.8875,2e-05,14.632768298004521
14,0.4374951232433319,0.954,0.16988729929924012,0.972,0.5983810126781464,0.807,0.8895,4.000000000000001e-06,15.480803454003762
15,0.4154944411277771,0.9538,0.16650338715314866,0.971,0.5972117643356323,0.805,0.888,4.000000000000001e-06,15.201663476007525
